name	type	primary	secondary	equipment	mechanics	level	force
3/4 Sit-Up 	Strength	Abdominals	N/A	None	Compound	Beginner	Pull
90-Degree Jump Squat Twist 	Plyometrics	Quadriceps	"Calves,Glutes,Hamstrings"	None	Compound	Beginner	Push
90/90 Hamstring A.K.A Dynamic hamstring stretch 	Stretching	Hamstrings	Calves	None	N/A	Beginner	Push
Ab Crunch Machine 	Strength	Abdominals	N/A	Machine	Isolation	Intermediate	Pull
"Ab Roller A.K.A Ab Wheel Rollout, Ab Rollout, Ab Roll Out, Ab Roll-out "	Strength	Abdominals	Shoulders	Other	Compound	Intermediate	Pull
"Adductor A.K.A Foam Roll Inner Thigh, Myofascial Release "	Stretching	Adductors	N/A	Foam Roll	Isolation	Intermediate	Static
"Adductor/Groin A.K.A Adductor Stretch, Adductor PNF Stretch, Groin PNF Stretch "	Stretching	Adductors	N/A	None	N/A	Intermediate	Static
Advanced Kettlebell Windmill 	Strength	Abdominals	"Glutes,Hamstrings,Shoulders"	Kettlebells	Isolation	Intermediate	Push
Air Bike A.K.A Bicycle Crunches 	Strength	Abdominals	N/A	None	Compound	Beginner	Pull
Alien Squat 	Plyometrics	Quadriceps	"Abductors,Calves,Glutes,Hamstrings"	None	Compound	Beginner	Push
All Fours Quad Stretch A.K.A Pronated Hip Flexor Stretch 	Stretching	Quadriceps	Quadriceps	None	N/A	Intermediate	Static
"Alternate Hammer Curl A.K.A Alternating Hammer Curl, Neutral Grip Bicep Curl, Dumbbell Curl with Neutral Grip "	Strength	Biceps	Forearms	Dumbbell	Isolation	Beginner	Pull
Alternate Heel Touchers 	Strength	Abdominals	N/A	None	Isolation	Beginner	Pull
"Alternate Incline Dumbbell Curl A.K.A Alternating Incline Dumbbell Curl, Alternating Incline Bicep Curl "	Strength	Biceps	Forearms	Dumbbell	Isolation	Beginner	Pull
Alternate Leg Diagonal Bound 	Plyometrics	Quadriceps	"Abductors,Adductors,Calves,Glutes,Hamstrings"	None	Compound	Beginner	Push
Alternating Cable Shoulder Press 	Strength	Shoulders	Triceps	Cable	Compound	Beginner	Push
"Alternating Deltoid Raise A.K.A Front and Side Raises, Shoulder Raise "	Strength	Shoulders	N/A	Dumbbell	Isolation	Beginner	Push
"Alternating Floor Press A.K.A Kettlebell Floor Press, Alternating Kettlebell Floor Press "	Strength	Chest	"Abdominals,Shoulders,Triceps"	Kettlebells	Compound	Beginner	Push
"Alternating Hang Clean A.K.A Kettlebell Clean, Alternating Kettlebell Clean, Alternating Kettlebell Hang Clean "	Strength	Hamstrings	"Biceps,Calves,Forearms,Glutes,LowerBack,Traps"	Kettlebells	Compound	Intermediate	Pull
"Alternating Kettlebell Press A.K.A Kettlebell Shoulder Press, Kettlebell Alternating Military Press "	Strength	Shoulders	Triceps	Kettlebells	Compound	Intermediate	Push
"Alternating Kettlebell Row A.K.A Bent Over Row, Kettlebell Alternating Row, Alternating Bent Over Row "	Strength	MiddleBack	"Biceps,Lats"	Kettlebells	Isolation	Intermediate	Pull
Alternating Leg Swing 	Stretching	Hamstrings	"Calves,Glutes,LowerBack"	None	Compound	Beginner	N/A
"Alternating Renegade Row A.K.A Commando Row, Renegade Row, Row from Plank, Push-up Position Plank Alternating Row "	Strength	MiddleBack	"Abdominals,Biceps,Chest,Lats,Triceps"	Kettlebells	Compound	Expert	Pull
Ankle Circles 	Stretching	Calves	N/A	None	Isolation	Beginner	Pull
"Ankle On The Knee A.K.A Piriformis stretch, hip stretch "	Stretching	Glutes	N/A	None	N/A	Beginner	Static
Anterior Tibialis-SMR 	Stretching	Calves	N/A	Other	N/A	Intermediate	Static
Anti-Gravity Press 	Strength	Shoulders	"MiddleBack,Traps,Triceps"	Barbell	Compound	Beginner	Push
Arm Circles 	Stretching	Shoulders	Traps	None	Isolation	Beginner	Push
"Arnold Dumbbell Press A.K.A rotating shoulder press, shoulder press with pronation "	Strength	Shoulders	Triceps	Dumbbell	Compound	Intermediate	Push
Around The World Pull-Up 	Strength	Lats	"Biceps,MiddleBack"	Other	Compound	Expert	Pull
Around The Worlds 	Strength	Chest	Shoulders	Dumbbell	Compound	Intermediate	Push
Assisted Chin-Up 	Strength	Lats	"Biceps,MiddleBack"	Bands	Compound	Beginner	Pull
Atlas Stone Trainer 	Strongman	LowerBack	"Biceps,Forearms,Glutes,Hamstrings,Quadriceps"	Other	Compound	Intermediate	Pull
Atlas Stones 	Strongman	LowerBack	"Abdominals,Adductors,Biceps,Calves,Forearms,Glutes,Hamstrings,MiddleBack,Quadriceps,Traps"	Other	Compound	Expert	Pull
Axle Clean And Press A.K.A Continental clean 	Strongman	Shoulders	"Glutes,Hamstrings,LowerBack,MiddleBack,Quadriceps,Traps,Triceps"	Barbell	Compound	Expert	Push
Axle Deadlift A.K.A Thick Bar Deadlift 	Strongman	LowerBack	"Forearms,Glutes,Hamstrings,MiddleBack,Quadriceps,Traps"	Other	Compound	Intermediate	Pull
"Back Flyes - With Bands A.K.A back flies, rear delt fly, rear delt flyes, rear delt flies "	Strength	Shoulders	"MiddleBack,Triceps"	Bands	Compound	Beginner	Pull
Backward Drag A.K.A backward sled drag 	Strongman	Quadriceps	"Calves,Forearms,Glutes,Hamstrings,LowerBack"	Other	Compound	Beginner	Pull
Backward Medicine Ball Throw 	Plyometrics	Shoulders	N/A	Medicine Ball	Compound	Beginner	Push
Balance Board 	Strength	Calves	"Hamstrings,Quadriceps"	Other	Compound	Beginner	N/A
"Ball Leg Curl A.K.A hamstring curl, physioball leg curl, stability ball leg curl "	Strength	Hamstrings	"Calves,Glutes"	Exercise Ball	Isolation	Beginner	Pull
Band Assisted Pull-Up 	Strength	Lats	"Abdominals,Forearms,MiddleBack"	Other	Compound	Beginner	N/A
Band Good Morning 	Powerlifting	Hamstrings	"Glutes,LowerBack"	Bands	Compound	Beginner	Pull
Band Good Morning (Pull Through) 	Powerlifting	Hamstrings	"Glutes,LowerBack"	Bands	Compound	Beginner	Pull
Band Hip Adductions 	Strength	Adductors	N/A	Bands	Isolation	Beginner	Pull
Band Pull Apart 	Strength	Shoulders	"MiddleBack,Traps"	Bands	Isolation	Beginner	Pull
Band Skull Crusher 	Strength	Triceps	N/A	Bands	Isolation	Beginner	Push
Bar Push-Up Smith Machine 	Plyometrics	Chest	"Shoulders,Triceps"	Other	Compound	Beginner	Push
Bar Throw And Press 	Strength	Chest	"Shoulders,Triceps"	Machine	Compound	Intermediate	Push
Barbell Ab Rollout 	Strength	Abdominals	"LowerBack,Shoulders"	Barbell	Compound	Intermediate	Pull
Barbell Ab Rollout - On Knees 	Strength	Abdominals	"LowerBack,Shoulders"	Barbell	Compound	Expert	Pull
Barbell Bench Press - Medium Grip A.K.A Barbell Bench Press 	Strength	Chest	"Shoulders,Triceps"	Barbell	Compound	Beginner	Push
Barbell Bench Press-Wide Grip 	Strength	Chest	"Shoulders,Triceps"	Barbell	Compound	Beginner	Push
Barbell Curl 	Strength	Biceps	Forearms	Barbell	Isolation	Beginner	Pull
Barbell Curls Lying Against An Incline 	Strength	Biceps	N/A	Barbell	Isolation	Beginner	Pull
Barbell Deadlift 	Strength	Hamstrings	"Calves,Glutes,LowerBack"	Barbell	Compound	Intermediate	Pull
Barbell Deadlift Bent Row Complex 	Strength	MiddleBack	"Glutes,Hamstrings,Lats,LowerBack"	Barbell	Compound	Intermediate	Pull
Barbell Front Raise 	Strength	Shoulders	N/A	Barbell	Isolation	Beginner	Push
Barbell Front-To-Back Squat 	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Barbell	Compound	Intermediate	Push
"Barbell Full Squat A.K.A Olympic Squat, High Bar Squat "	Strength	Quadriceps	"Calves,Glutes,Hamstrings,LowerBack"	Barbell	Compound	Intermediate	Push
Barbell Glute Bridge A.K.A hip thrust 	Powerlifting	Glutes	"Calves,Hamstrings"	Barbell	Compound	Intermediate	Push
Barbell Guillotine Bench Press A.K.A Neck Press 	Strength	Chest	"Shoulders,Triceps"	Barbell	Compound	Intermediate	Push
Barbell Hack Squat 	Strength	Quadriceps	"Calves,Forearms,Hamstrings"	Barbell	Compound	Intermediate	Push
"Barbell Hip Thrust A.K.A Bridge, weighted hip extension "	Powerlifting	Glutes	"Calves,Hamstrings"	Barbell	Compound	Intermediate	Push
Barbell Incline Bench Press Medium-Grip 	Strength	Chest	"Shoulders,Triceps"	Barbell	Compound	Beginner	Push
"Barbell Incline Shoulder Raise A.K.A shoulder protraction, weighted scapular protraction "	Strength	Shoulders	Chest	Barbell	Compound	Beginner	Push
Barbell Lunge A.K.A weighted lunges 	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Barbell	Compound	Intermediate	Push
Barbell Rear Delt Row A.K.A Elbows Out Barbell Row 	Strength	Shoulders	"Biceps,Lats,MiddleBack"	Barbell	Compound	Beginner	Pull
Barbell Reverse Lunge 	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Barbell	Compound	Beginner	Push
Barbell Rollout from Bench 	Strength	Abdominals	"Glutes,Hamstrings,Lats,Shoulders"	Barbell	Compound	Intermediate	Pull
Barbell Seated Calf Raise 	Strength	Calves	N/A	Barbell	Isolation	Beginner	Push
Barbell Shoulder Press A.K.A Seated Barbell Shoulder Press 	Strength	Shoulders	"Chest,Triceps"	Barbell	Compound	Intermediate	Push
Barbell Shrug 	Strength	Traps	N/A	Barbell	Isolation	Beginner	Pull
Barbell Shrug Behind The Back 	Strength	Traps	"Forearms,MiddleBack"	Barbell	Isolation	Beginner	Pull
Barbell Side Bend A.K.A Barbell Side Bends 	Strength	Abdominals	LowerBack	Barbell	Isolation	Beginner	Pull
Barbell Side Split Squat A.K.A Barbell Side Lunge 	Strength	Quadriceps	"Calves,Hamstrings,LowerBack"	Barbell	Compound	Beginner	Push
Barbell Squat A.K.A Barbell Full Squat 	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Barbell	Compound	Beginner	Push
Barbell Squat To A Bench A.K.A Barbell Squat to a Box 	Strength	Quadriceps	"Calves,Glutes,Hamstrings,LowerBack"	Barbell	Compound	Expert	Push
Barbell Squat To A Box 	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Other	Compound	Beginner	Push
Barbell Step Ups A.K.A Barbell Step-Ups 	Strength	Quadriceps	"Calves,Glutes,Hamstrings,Quadriceps"	Barbell	Compound	Intermediate	Push
Barbell Thruster 	Strength	Quadriceps	"Glutes,Hamstrings,MiddleBack,Shoulders,Traps,Triceps"	Barbell	Compound	Intermediate	Push
Barbell Walking Lunge 	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Barbell	Compound	Beginner	Push
Battling Ropes A.K.A Wave Lengths 	Strength	Shoulders	"Chest,Forearms"	Other	Compound	Beginner	Push
Bear Crawl Sled Drags 	Strongman	Quadriceps	"Calves,Glutes,Hamstrings"	Other	Compound	Beginner	Push
Behind Head Chest Stretch 	Stretching	Chest	Shoulders	Other	Isolation	Expert	Static
Bench Dips A.K.A tricep dip 	Strength	Triceps	"Chest,Shoulders"	None	Compound	Beginner	Push
"Bench Jump A.K.A Front Jump, Front Bench Jump, Front Box Jump "	Plyometrics	Quadriceps	"Calves,Glutes,Hamstrings"	None	Compound	Intermediate	Push
Bench Press - Powerlifting A.K.A Bench Press 	Powerlifting	Triceps	"Chest,Forearms,Lats,Shoulders"	Barbell	Compound	Intermediate	Push
Bench Press - With Bands A.K.A Bench Press With Bands 	Strength	Chest	"Shoulders,Triceps"	Bands	Compound	Beginner	Push
Bench Press with Chains 	Powerlifting	Triceps	"Chest,Lats,Shoulders"	Barbell	Compound	Expert	Push
Bench Press With Short Bands 	Powerlifting	Chest	"Shoulders,Triceps"	Bands	Compound	Intermediate	Push
Bench Sprint 	Plyometrics	Quadriceps	"Calves,Glutes,Hamstrings"	Other	Compound	Beginner	Push
